=== Snake AI Curriculum Training [DDQN] ===

>>> [Curriculum] Starting Phase: 1. Pre-training (Single Snake) -> agent/checkpoints/ddqn_pretrain.pth
>>> Command: train_dqn_variants.py --variant ddqn --single --steps 500000 --save agent/checkpoints/ddqn_pretrain.pth
>>> [V6.9 Survival-Balanced] Variant: DDQN | LR: 0.0001 | GradClip: 1.0
>>> PHASE 1 (Single) | Closer: 0.08 | Death: -15.0
>>> Starting DDQN Training (V6.7 Omni-Batch)...
Step: 2000 | EPS: 0.99 | Rew: -16.26 | FPS: 1248.0 | Var: ddqn
Step: 200000 | EPS: 0.05 | Rew: 83.75 | FPS: 852.4 | Var: ddqn
Step: 210000 | EPS: 0.05 | Rew: 93.51 | FPS: 856.9 | Var: ddqn
Step: 220000 | EPS: 0.05 | Rew: 116.18 | FPS: 851.5 | Var: ddqn
Step: 230000 | EPS: 0.05 | Rew: 147.62 | FPS: 867.2 | Var: ddqn
Step: 240000 | EPS: 0.05 | Rew: 158.06 | FPS: 857.9 | Var: ddqn
Step: 250000 | EPS: 0.05 | Rew: 208.89 | FPS: 858.0 | Var: ddqn
Step: 260000 | EPS: 0.05 | Rew: 261.17 | FPS: 866.3 | Var: ddqn
Step: 270000 | EPS: 0.05 | Rew: 275.01 | FPS: 844.5 | Var: ddqn
Step: 280000 | EPS: 0.05 | Rew: 331.52 | FPS: 845.8 | Var: ddqn
Step: 290000 | EPS: 0.05 | Rew: 387.75 | FPS: 844.8 | Var: ddqn
Step: 300000 | EPS: 0.05 | Rew: 411.28 | FPS: 878.0 | Var: ddqn
Step: 310000 | EPS: 0.05 | Rew: 378.65 | FPS: 870.5 | Var: ddqn
Step: 320000 | EPS: 0.05 | Rew: 431.32 | FPS: 864.4 | Var: ddqn
Step: 330000 | EPS: 0.05 | Rew: 484.51 | FPS: 839.5 | Var: ddqn
Step: 340000 | EPS: 0.05 | Rew: 546.50 | FPS: 850.2 | Var: ddqn
Step: 350000 | EPS: 0.05 | Rew: 596.49 | FPS: 846.0 | Var: ddqn
Step: 360000 | EPS: 0.05 | Rew: 590.64 | FPS: 858.0 | Var: ddqn
Step: 370000 | EPS: 0.05 | Rew: 576.02 | FPS: 860.2 | Var: ddqn
Step: 380000 | EPS: 0.05 | Rew: 599.30 | FPS: 846.6 | Var: ddqn
Step: 390000 | EPS: 0.05 | Rew: 656.64 | FPS: 837.1 | Var: ddqn
Step: 400000 | EPS: 0.05 | Rew: 696.19 | FPS: 849.4 | Var: ddqn
Step: 410000 | EPS: 0.05 | Rew: 769.95 | FPS: 853.2 | Var: ddqn
Step: 420000 | EPS: 0.05 | Rew: 826.77 | FPS: 839.4 | Var: ddqn
Step: 430000 | EPS: 0.05 | Rew: 781.50 | FPS: 875.9 | Var: ddqn
Step: 440000 | EPS: 0.05 | Rew: 780.54 | FPS: 855.1 | Var: ddqn
Step: 450000 | EPS: 0.05 | Rew: 761.43 | FPS: 864.3 | Var: ddqn
Step: 460000 | EPS: 0.05 | Rew: 710.58 | FPS: 851.1 | Var: ddqn
Step: 470000 | EPS: 0.05 | Rew: 696.76 | FPS: 859.2 | Var: ddqn
Step: 480000 | EPS: 0.05 | Rew: 679.61 | FPS: 828.4 | Var: ddqn
Step: 490000 | EPS: 0.05 | Rew: 702.70 | FPS: 848.9 | Var: ddqn
Step: 500000 | EPS: 0.05 | Rew: 723.54 | FPS: 468.3 | Var: ddqn
>>> [Curriculum] Phase completed successfully.

>>> [Curriculum] Starting Phase: 2. Fine-tuning (Battle Mode) -> agent/checkpoints/ddqn_battle.pth
>>> Command: train_dqn_variants.py --variant ddqn --load agent/checkpoints/ddqn_pretrain.pth --steps 500000 --save agent/checkpoints/ddqn_battle.pth
>>> [V6.9 Survival-Balanced] Variant: DDQN | LR: 0.0001 | GradClip: 1.0
>>> PHASE 2 (Battle) | Closer: 0.05 | Death: -15.0 | SurvivalBonus: 0.01
>>> Loading weights from agent/checkpoints/ddqn_pretrain.pth...
>>> Starting DDQN Training (V6.7 Omni-Batch)...
Step: 2000 | EPS: 0.99 | Rew: -15.20 | FPS: 234.0 | Var: ddqn
Step: 4000 | EPS: 0.98 | Rew: -16.90 | FPS: 519.7 | Var: ddqn
Step: 6000 | EPS: 0.97 | Rew: -17.09 | FPS: 556.0 | Var: ddqn
Step: 8000 | EPS: 0.96 | Rew: -17.33 | FPS: 566.8 | Var: ddqn
Step: 10000 | EPS: 0.95 | Rew: -16.64 | FPS: 536.4 | Var: ddqn
Step: 12000 | EPS: 0.94 | Rew: -17.13 | FPS: 544.7 | Var: ddqn
Step: 14000 | EPS: 0.93 | Rew: -15.23 | FPS: 559.6 | Var: ddqn
Step: 16000 | EPS: 0.92 | Rew: -13.79 | FPS: 540.9 | Var: ddqn
Step: 18000 | EPS: 0.91 | Rew: -14.30 | FPS: 550.0 | Var: ddqn
Step: 20000 | EPS: 0.90 | Rew: -14.46 | FPS: 2783.7 | Var: ddqn
Step: 30000 | EPS: 0.85 | Rew: -16.87 | FPS: 545.8 | Var: ddqn
Step: 40000 | EPS: 0.80 | Rew: -14.88 | FPS: 525.4 | Var: ddqn
Step: 50000 | EPS: 0.75 | Rew: -15.75 | FPS: 514.4 | Var: ddqn
